;% accepted last year;% immediately rejected last year;Articles published last year;Average number of review reports;Average number of review rounds;Decision time immediate rejection;Difficulty of reviewer comments;Duration first review ;Five-year impact factor;Issues per year;Journal link;Kind of complaint procedure;Manuscript handling fee?;Manuscripts received last year;Open access status;Overall rating manuscript handlingOverall rating manuscript handling;Quality of review reports;Total handling time accepted manuscripts;Two-year impact factor
0;['n/a'];['n/a'];['n/a'];2.0;1.0;n/a;n/a;4.1 mnths;['n/a'];['n/a'];https://scirev.org/journal/politics/;['n/a'];['n/a'];['n/a'];['n/a'];3.5 ;2.5;4.1 mnths;['n/a']
1;['n/a'];['n/a'];['n/a'];3.0;1.0;1 days;n/a;1.5 mnths;['n/a'];['n/a'];https://scirev.org/journal/american-journal-of-political-science/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;4.0;1.5 mnths;['n/a']
2;['n/a'];['n/a'];['n/a'];2.0;3.0;n/a;4.0;3.2 mnths;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-public-opinion-research/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;4.5;5.4 mnths;['n/a']
3;['n/a'];['n/a'];['n/a'];2.0;2.0;n/a;5.0;3.7 mnths;['n/a'];['n/a'];https://scirev.org/journal/politics-philosophy-and-economics/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;4.0;10.7 mnths;['n/a']
4;['27'];['10'];['49'];3.0;2.0;n/a;2.0;3.3 mnths;['1.20'];['6'];https://scirev.org/journal/party-politics/;['Editor'];['yes'];['181'];['optional'];4.0 ;4.0;6.8 mnths;['1.14']
5;['n/a'];['n/a'];['n/a'];2.0;1.0;40 days;n/a;7.3 mnths;['n/a'];['n/a'];https://scirev.org/journal/political-analysis/;['n/a'];['n/a'];['n/a'];['n/a'];5.0 ;5.0;7.3 mnths;['n/a']
6;['5'];['35'];['52'];3.0;1.0;n/a;n/a;2.6 mnths;['6.60'];['4'];https://scirev.org/journal/american-political-science-review/;['Editor'];['no'];['1200'];['no'];4.5 ;3.0;2.6 mnths;['3.35']
7;['n/a'];['n/a'];['n/a'];1.5;1.0;n/a;n/a;7.3 mnths;['n/a'];['n/a'];https://scirev.org/journal/social-politics/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;4.0;7.3 mnths;['n/a']
8;['n/a'];['n/a'];['n/a'];2.5;1.0;n/a;n/a;1.8 mnths;['n/a'];['n/a'];https://scirev.org/journal/political-behavior/;['n/a'];['n/a'];['n/a'];['n/a'];3.5 ;3.0;1.8 mnths;['n/a']
9;['n/a'];['n/a'];['n/a'];2.5;2.5;n/a;4.0;3.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/canadian-journal-of-political-science/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;4.5;6.8 mnths;['n/a']
10;['n/a'];['n/a'];['n/a'];2.0;1.0;n/a;n/a;2.1 mnths;['n/a'];['n/a'];https://scirev.org/journal/journal-of-elections,-public-opinion-and-parties/;['n/a'];['n/a'];['n/a'];['n/a'];1.0 ;3.0;2.1 mnths;['n/a']
11;['n/a'];['n/a'];['n/a'];2.0;2.0;n/a;2.0;4.5 mnths;['n/a'];['n/a'];https://scirev.org/journal/austrian-journal-of-political-science/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;4.0;5.8 mnths;['n/a']
12;['n/a'];['n/a'];['n/a'];2.0;2.0;n/a;1.0;5.5 mnths;['n/a'];['n/a'];https://scirev.org/journal/iatss-research/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;3.0;5.6 mnths;['n/a']
13;['n/a'];['n/a'];['n/a'];2.0;3.0;n/a;3.0;8.6 mnths;['n/a'];['n/a'];https://scirev.org/journal/european-journal-of-cultural-and-political-sociology/;['n/a'];['n/a'];['n/a'];['n/a'];2.0 ;4.0;10.8 mnths;['n/a']
14;['n/a'];['n/a'];['n/a'];3.0;2.0;n/a;3.0;3.3 mnths;['n/a'];['n/a'];https://scirev.org/journal/global-social-policy/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;4.0;3.9 mnths;['n/a']
15;['n/a'];['n/a'];['n/a'];4.0;2.0;n/a;5.0;1.8 mnths;['n/a'];['n/a'];https://scirev.org/journal/weather,-climate-and-society/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;3.0;3.2 mnths;['n/a']
16;['n/a'];['n/a'];['n/a'];n/a;n/a;9 days;n/a;n/a;['n/a'];['n/a'];https://scirev.org/journal/african-affairs/;['n/a'];['n/a'];['n/a'];['n/a'];n/a;n/a;n/a;['n/a']
17;['n/a'];['n/a'];['n/a'];3.0;3.0;n/a;4.0;1.8 mnths;['n/a'];['n/a'];https://scirev.org/journal/international-journal-of-offender-therapy-and-comparative-criminology/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;4.0;5.1 mnths;['n/a']
18;['n/a'];['n/a'];['n/a'];2.0;2.0;n/a;3.0;2.4 mnths;['n/a'];['n/a'];https://scirev.org/journal/social-justice-research/;['n/a'];['n/a'];['n/a'];['n/a'];4.0 ;3.0;4.1 mnths;['n/a']
19;['n/a'];['n/a'];['n/a'];3.0;2.0;n/a;2.0;5.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/water-alternatives/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;3.0;5.3 mnths;['n/a']
20;['n/a'];['n/a'];['n/a'];2.0;3.0;n/a;3.0;5.3 mnths;['n/a'];['n/a'];https://scirev.org/journal/studies-in-ethnicity-and-nationalism/;['n/a'];['n/a'];['n/a'];['n/a'];3.0 ;3.0;12.2 mnths;['n/a']
21;['n/a'];['n/a'];['n/a'];3.0;1.0;n/a;n/a;5.8 mnths;['n/a'];['n/a'];https://scirev.org/journal/political-research-quarterly/;['n/a'];['n/a'];['n/a'];['n/a'];0.0 ;1.0;5.8 mnths;['n/a']
22;['n/a'];['n/a'];['n/a'];0.0;1.0;n/a;n/a;2.0 mnths;['n/a'];['n/a'];https://scirev.org/journal/european-foreign-affairs-review/;['n/a'];['n/a'];['n/a'];['n/a'];2.0 ;n/a;2.0 mnths;['n/a']
